Review,Cơ sở vật chất#Chất lượng,Cơ sở vật chất#Khác,Cơ sở vật chất#Không gian,Cơ sở vật chất#Vệ sinh,Nhân viên y tế#Chất lượng,Nhân viên y tế#Khác,Nhân viên y tế#Thái độ,Trải nghiệm chung#Chất lượng,Trải nghiệm chung#Giá,Trải nghiệm chung#Khác,Trải nghiệm chung#Không gian,Trải nghiệm chung#Thái độ,Trải nghiệm chung#Vệ sinh
"Em đang điều trị tại khoa Vi Phẫu, mấy chị điều dưỡng (chị Tuyền, chị Yến) nhiệt tình, giải thích dễ hiểu, ân cần nữa. Bác sĩ cũng vui vẻ lắm, tạo tâm lí tốt cho em. ❤️",0,0,0,0,0,0,1,0,0,0,0,0,0
Tôi thật sự hài lòng với trải nghiệm ở đây!!!,0,0,0,0,0,0,0,0,0,1,0,0,0
"Chở mẹ tôi đi chích ngừa uốn ván tại đây. Cơ sở vật chất xuống cấp, nhưng khu khám bệnh có thủ tục, hướng dẫn bài bản, dễ hiểu. Bác sĩ và y tá, lễ tân thân thiện. Nếu được nâng cấp lên chắc chắn chất lượng sẽ hơn thế nữa.",2,0,0,0,0,0,1,0,0,0,0,0,0
"Lần đầu được đến điều trị tại bệnh viện da liễu TP HCM. Cái ấn tượng đầu tiên đó là qui trình làm việc, rất nề nếp, rất sạch sẽ.
Ấn tượng hơn nữa là khi đc tiếp xúc với bác sĩ. y tá, bảo vệ, tạp vụ ở đây. Họ vô cùng nhẹ nhàng, gần gũi và thân thiện. Hằng ngày đc bác sĩ thăm khám thường xuyên, tư vấn cho bệnh nhân rất nhiệt tình, và điều trị rất hiệu quả.
Trong thời gian ở điều trị 9 ngày, ở tại bệnh viện bản thân tôi luôn có cảm giác rất thoải mái. Phòng bệnh sạch sẽ từ bên ngoài vào bên trong, nhà vệ sinh thì khỏi phải nói sạch như ở nhà.
Các anh bảo vệ, các cô y tá, cả cô làm tạp vụ luôn vui vẻ và nở nụ cười trên môi. Tự nhiên thây thân thương vô cùng.
Cảm ơn Bác sĩ Nguyễn Minh Anh Thi đã điều trị cho em. Cảm ơn 2 cô y tá e quên cái tên. Cảm ơn tất cả các anh bảo vệ, cảm ơn cô tạp vụ cũng quên cai tên luôn. Hihi!
Thật thân thương và yêu mến!
❤️❤️❤️❤️❤️❤️",0,0,0,0,0,0,1,0,0,1,0,0,1
Đi khám sáng thứ hai đầu tuần bệnh nhân đông nghẹt,0,0,0,0,0,0,0,0,0,0,2,0,0
"Bác sĩ kê đơn đúng thuốc nhưng không có tâm, không cân nhắc tình hình tài chính của kh, nhất là trong tình hình kinh tế khó khăn như hiện nay.
Con bị sổ mũi, ngoài những loại thuốc để cháu không ho và sổ mũi như hiện nay, bác sĩ cho lọ nước xịt mũi, nhưng không kê vào toa thuốc mà lại kê vào TOA TƯ VẤN. Khi xuống, nhà thuốc cũng không hỏi lại toa tư vấn chị có mua không mà kê trong đơn tính tiền luôn. Thành ra chai xịt nước muối của con thay vì 30k hay 40k như bình thường, mình phải mua theo đơn bác sĩ gần 200k.🤧🤧🤧
Con bị táo bón, bác kê thuôc táo bón. Kê 1 lần 5 chai. Mỗi chai hơn 100k  tổng công 600k 🤯🤯🤯
Quầy thuốc đông nghẹt, khi nghe đọc số tiền, mình thắc mắc sao nhiều vậy, vì đâu biết bác sĩ kê thuốc gì, đơn giá bao nhiêu, cô thu ngân bảo thắc mắc.lên hỏi bác sĩ, cô chỉ biết lấy theo đơn bác sĩ. Nghĩ ddeens cảnh xếp hàng hơn 1 tiếng đồng hồ. Giờ phải xếp hàng lại chịu sao nổi, thôi đóng tiền luôn cho rồi.
Tính tổng cộng đơn thuốc chữa bệnh không bao nhiêu, mà đơn tư vấn thì quá trời và không cần thiết. Gomlại chi phí khám chữa bệnh cho ho sổ mũi thông thường và táo bón hôm nay là 1 triệu đồng. Cộng tiền  xin nghỉ đưa con đi xếp hàng khám bệnh nữa là.thiệt hại gần 1tr500k hôm nay.
Trong khi đó, cũng tại bệnh viện nhi đồng, bác sĩ khác kê đơn cho con cũng bệnh đó chỉ có 200k.
Bác sĩ ơi!!!!!!!",0,0,0,0,0,0,2,0,0,0,0,0,0
"Tôi cắt anidan tại đây tôi hài lòng cung cách phục vụ và hỗ trợ, tt toan online",0,0,0,0,0,0,0,1,0,0,0,0,0
Tăng viện phí mà chất lượng phục vụ cũng như hạch.chỉ biết thu tiền dân mà chẳng có kế hoặc phục vụ cho tốt hơn thế nào.,0,0,0,0,0,0,0,2,2,0,0,0,0
"Bề ngoài có hoành tráng đến đâu mà dịch vụ khám bệnh qua loa, trễ nãi thì cũng rate 1 sao ạ. Thất vọng với cách làm việc của bác sĩ phòng số 3 quá, không đọc số hay tên gì hết, làm tôi bị qua lượt, bác sĩ thì ko nghe tôi nói triệu chứng tôi gặp phải mà cứ chẩn đoán hời hợt, r cho thuốc cho lẹ để khám ng khác. Ngồi chờ gần 4 tiếng cảm thấy mất thời gian quá. May có đống thuốc free nhờ có BHYT vớt vát lại. À thái độ nhân viên không nhiệt tình, hỏi không muốn trả lời, trả lời thì rất cọc. Nói chung là chê.",1,0,0,0,0,0,2,0,0,0,0,0,0
"Nhiệt tình, tâm huyết",0,0,0,0,0,0,0,0,0,1,0,0,0
