Review,Cơ sở vật chất#Chất lượng,Cơ sở vật chất#Khác,Cơ sở vật chất#Không gian,Cơ sở vật chất#Vệ sinh,Nhân viên y tế#Chất lượng,Nhân viên y tế#Khác,Nhân viên y tế#Thái độ,Trải nghiệm chung#Chất lượng,Trải nghiệm chung#Giá,Trải nghiệm chung#Khác,Trải nghiệm chung#Không gian,Trải nghiệm chung#Thái độ,Trải nghiệm chung#Vệ sinh
"Bệnh viện khá hiện đại. Vị trí thuận lợi đến và đi của bà con ở quê xa và người dân ở sài gòn.
Bệnh viện khá hiện đại và sạch sẽ. Đội ngũ y bác sĩ tay nghề cao và tận tình. Tuy nhiên do là bệnh viện nổi tiếng nên sẽ rất đông vào ngày đầu tuần. Mọi người nên tải app book lịch khám trước.",1,0,2,1,1,0,1,0,0,1,0,0,0
"Bệnh viện Đại học Y Dược là bệnh viện đa khoa, Bệnh viện Đại học Y Dược TPHCM là địa chỉ chăm sóc sức khỏe uy tín của hàng triệu người bệnh từ khắp nơi trong cả nước.
Bệnh viện có 3 cơ sở, trụ sở chính tại 215 Hồng Bàng, P.11, Q.5. Từ năm 2013, Bệnh viện đưa vào hoạt động tòa nhà 17 tầng đã mở rộng khả năng đáp ứng số lượng người bệnh đến khám ngoại trú và điều trị nội trú tại BV. Đây là tòa nhà thiết kế theo tiêu chuẩn bệnh viện quốc tế, đem đến môi trường khám chữa bệnh tiện nghi, xanh – sạch – đẹp, an ninh giúp người bệnh và gia đình cảm thấy thoải mái hơn khi vào Bệnh viện.",3,1,0,0,0,0,0,1,0,1,0,0,1
"Lần đầu tiên đưa ba đi khám tổng quát tại Bệnh viện Đại học Y Được Tp.HCM, tôi có những trải nghiệm thực tế, ý kiến nhận xét, góp ý và đề xuất như sau :
1-  Xuất phát từ Bình Dương đến đường Tản Đà bên hông BV để gửi ô tô dưới hầm, nhưng đã full chỗ. Thế là phải loay hoay hơn 30 để tìm chỗ gửi xe, các hẽm quanh BV 2 bên đường đều có ô tô đậu kín, chạy qua Paskon gửi dưới hầm với giá : 4 tiếng đầu 30k, mỗi 1 tiếng cộng thêm 15k. Tổng thời gian : 6g00 đến 4h00 là 120k, chìa khóa đem theo, không nên gửi những chỗ để chìa khóa lại, họ dời xe nếu có trầy xướt thì cười trừ thôi. ĐỀ XUẤT : BV nên bố trí nơi để xe ô tô cho bệnh nhân, không nên viên bất cứ lý do gì, phải có giải pháp đồng bộ với chính quyền, mà đây là thực tế của hầu hết BV tại TpHCM, điển hình BV Mắt TpHCM, tìm chỗ gửi ô tô là quá khó, phải đi mấy km.
2- Do đăng ký app UMC trước 3 ngày, nên dự kiến khám là 7h00-8h00, vô 6h40 là thủ tục chờ khám luôn. Cảnh tượng đầu tiên là ĐÔNG KHỦNG KHIẾP, người bệnh tại VN ta quá nhiều, đáng báo động tình hình sức khỏe dân ta. Lộ trình tiếp theo là BS cho danh sách khám tổng quát cơ bản 2,980k, quét QR thanh toán thì cộng thêm 5,500đ nữa. Tranh thủ chạy đến các nơi khám, xét nghiệm xếp hàng chờ và các khoa khám khác Thần kinh, Phục hồi CN, Ung bướu mỗi khoa 150k, tổng kết gần 5tr gồm tiền thuốc.
3- Đội ngũ Y bác sĩ : ok
4- Có 02 app : App UMC đăng ký khám và App UMC CARE để xem kết quả xét nghiệm, siêu âm. App UMC CARE chạy như con rùa bò, đăng nhập lần đầu tiên thì ok, đến khi thoát đăng nhập lại thì xoay vòng không vào được, phải gỡ cài lại mới vào được và tình trạng cũng y như trên. Nếu như App tích hợp toàn bộ hồ sơ lưu trữ kể cả tên thuốc, số tiền, nơi khám, BS khám,...thì rất hay.
5- Bao hồ sơ cũng không có, rất đáng tiếc cho 1 BV lớn tuyến cuối.
6- Kết thúc cả 1 ngày trời, nhưng chưa xong, chọc hút tế bào bướu cổ ở khoa Siêu Âm - khu B không nhận hồ sơ, hẹn ngày mai. Thế thì hẹn dịp khác vậy, quá đuối rồi.
----------
ĐỀ XUẤT :
Di dời 1/2 hoặc toàn bộ BV Đại học Y Dược TpHCM cơ sở 1 ra ngoại thành.",2,2,2,0,0,0,1,2,2,2,2,0,0
"26/05/2023. 1 ngày trải nghiệm tại bv Đại Học Y Dược cơ sở 2 , khu A.
1/ Điều đầu tiên đến đây là cần tìm chỗ gửi xe
2/ bv sạch sẽ, rộng thoáng. bảo vệ và nhân viên lau công vui vẻ nhiệt tình
3/ bv làm việc logic , nhanh lẹ. đặc biệt có đội ngũ thanh niên tình nguyện đhyd hướng dẫn nhiệt tình",1,0,1,1,0,0,1,1,0,0,0,0,0
"Bv sạch sẽ, dịch vụ tốt. Lưu ý đây là bv dịch vụ nên chi phí khá cao, người nhà của bạn bè tôi nằm ở điều trị đặc biệt trung bình 10tr/ ngày",0,0,0,1,0,0,0,1,2,0,0,0,0
"Đề nghị BV bố trí thêm phòng siêu âm. Mình khám buổi chiều đợi siêu âm hơn 4 tiếng đồng hồ. Uống hết 2 ly nước, đi ra vô quán caffe mấy bận vẫn chưa tới lượt. Siêu âm lâu mọi người nên đi ra ngoài quán cafe ngồi đợi cho thoáng nhé, đỡ hơi người, đỡ ngộp, đỡ lây bệnh. Đi mấy quán phía cổng Tản Đà sẽ ít BN và đến BV gần nhất, 1 phút đi bộ",0,0,0,0,0,0,0,1,0,2,0,0,0
"Bệnh viện sạch sẽ, được bố trí thoáng đãng. Lần đầu đc trải nghiệm tại bệnh viện từ 8h sáng đến hiện tại đánh giá bài này là 13h10 nhưng vẫn còn đến gần 100 số nữa mới nhận được thuốc 😂 Sáng mới bước vô bệnh viện mà thấy choáng ngợp vì người không là người. Mình khám 2 khoa mũi họng và xương khớp, không biết do đã khám nhiều bệnh nhân  (lượt mình là số 90) hay sao nhưng bs đều rất qua loa, ậm ừ. Tính thời gian khám thì chỉ vỏn vẹn 5p, còn chờ đợi xem đc 4 tập Wednesday.  Cảm nhận thật là yomost, đề nghị sạc đầy pin kiểm tra mạng 4g or tải film offline trước khi bước vào bãi gửi xe của bệnh viện. Dự đoán chắc phải 15h mới nhận đc thuốc.",0,0,1,1,2,0,2,0,0,2,2,0,0
Đặt khám app thì thanh toán toàn báo lỗi. Tới nơi thì đông chỗ cho người bệnh ngồi tiếc tiền điện ko mở quạt,0,0,2,0,0,0,0,2,2,0,0,0,0
"Bệnh viện này đông thật sự mọi người ạ. Đi khám bệnh chờ khá lâu. Tuy nhiên dịch vụ ở đây khá tốt, khám bệnh, phát thuốc đều nhanh, chuyên nghiệp. Nhà vệ sinh sạch sẽ. Bãi đậu xe khá cao, chạy 2 tầng hầm mới đậu được xe. Ddi thang bộ nhanh hơn thang máy. Nói chung tất cả khá tốt, điều trị đa khoa, có thang máy, chất lượng.",0,1,2,1,0,0,0,1,3,2,0,0,0
"Là một bệnh viện tư nên giá thì khỏi phải bàn rồi, nhưng đổi lại thì chất lượng phục vụ cao, điều dưỡng năng động, lễ phép, chỉ có điều ở khâu tính hóa đơn CT thì hơi fail tý, CT nhìn không rõ, không chuẩn đoán được chính xác bệnh thì bắt CT lại lần 2, nhưng tính phí cả 2 lần😂, hơi khó hiểu ở chỗ này, nhưng nhìn chung là khá ổn.",2,2,0,0,0,0,1,1,2,0,0,0,0
